;doc;source;author;title;year;period;text_type;sentence
61597;TT10terribilmente_randomsample.csv;itTenten2010;universitadelledonne.it;universitadelledonne.it;2010.0;2001-2021;web;['trovo il passato terribilmente doloroso sebbene ci sia legata.']
61599;TT10terribilmente_randomsample.csv;itTenten2010;kataweb.it;kataweb.it;2010.0;2001-2021;web;['o anche a saturnia dove puzza terribilmente ma godi da morì.']
61617;TT10terribilmente_randomsample.csv;itTenten2010;caffeeuropa.it;caffeeuropa.it;2010.0;2001-2021;web;['e questo   venendo dopo la caduta del muro di berlino   ha sconcertato e terribilmente intorbidato le acque in cui deve nuotare la cosiddetta  seconda repubblica  molti riconoscono al primo craxi valide']
61690;TT10terribilmente_randomsample.csv;itTenten2010;repubblica.it;repubblica.it;2010.0;2001-2021;web;['strutturati  detti volgarmente spazzatura  è pieno di difetti che il congresso ha cercato di ridurre: è un piano terribilmente opaco, per curare una crisi nata proprio dall opacità.']
61791;TT10terribilmente_randomsample.csv;itTenten2010;terranauta.it;terranauta.it;2010.0;2001-2021;web;['nostro futuro più prossimo, dando così vita ad un  analisi serrata e per tanti versi catastrofica, ma al tempo stessa terribilmente veritiera e ben documentata.']
61844;TT10terribilmente_randomsample.csv;itTenten2010;corea.it;corea.it;2010.0;2001-2021;web;['insolito per noi, il poggiatesta che faceva le veci del nostro cuscino, e si sarà chiesto se questo non risultasse terribilmente scomodo.']
61847;TT10terribilmente_randomsample.csv;itTenten2010;festivaletteratura.it;festivaletteratura.it;2010.0;2001-2021;web;['la velocità con cui i mutamenti avvengono è infatti terribilmente aumentata  .']
66239;JSIterribilmente_randomsample.csv;JSI;ilsole24ore.com;ilsole24ore.com;2014.0;2001-2021;web;['la stessa cartolina che a noi italiani oggi appare terribilmente sbiadita, ma in russia continua a funzionare.']
70171;JSIterribilmente_randomsample.csv;JSI;corriere.it;corriere.it;2015.0;2001-2021;web;['comunque sono terribilmente snob e formali ma rispetto all  italiano medio si vestono piuttosto male.']
70455;LLAgaraff1.txt;Liber Liber;Paolo Agaraff;Misteri & Efferatezze;2015.0;2001-2021;prosa letteraria;['dall atteggiamento degli operai e dalla loro postura curva appariva chiaro che il contenitore era terribilmente pesante nonostante le ridotte dimensioni.']
